Period 0	-22431.4951	-13825.3890	-6193.4233	-1240.6251	5200.5377	11016.3731	15174.8433	
Period 1	-22431.4951	-23262.7860	-16494.1646	-4689.0572	-1598.3744	3924.4064	10288.0368	
Period 2	-22431.4951	-23262.7860	-22743.2292	-14813.8244	-5911.3547	-0167.3771	5370.6886	
Period 3	-22431.4951	-23262.7860	-22743.2292	-22535.4064	-15209.1986	-5253.1945	-0614.5638	
Period 4	-22431.4951	-23262.7860	-22743.2292	-22535.4064	-22535.4064	-15901.1034	-6851.5835	
Period 5	-22431.4951	-23262.7860	-22743.2292	-22535.4064	-22535.4064	-20665.0020	-13133.4842	
Period 6	-22431.4951	-23262.7860	-22743.2292	-22535.4064	-22535.4064	-20665.0020	-20457.1793	
