Period 0	-20145.4452	-33476.6165	-40986.3602	-41511.4866	-36906.4769	-23786.0214	-6609.7130	
Period 1	-20145.4452	-41330.0040	-56143.8284	-60080.7025	-61679.0769	-56138.2375	-44636.3069	
Period 2	-20145.4452	-41330.0040	-63553.6764	-75204.5075	-79517.4731	-82099.6582	-78090.1764	
Period 3	-20145.4452	-41330.0040	-63553.6764	-85569.5260	-99790.2892	-107206.0100	-108983.2591	
Period 4	-20145.4452	-41330.0040	-63553.6764	-85569.5260	-106546.2621	-118197.0932	-124202.4708	
Period 5	-20145.4452	-41330.0040	-63553.6764	-85569.5260	-106546.2621	-130848.1616	-144574.7071	
Period 6	-20145.4452	-41330.0040	-63553.6764	-85569.5260	-106546.2621	-130848.1616	-154007.0362	
