Period 0	40746.6107	39550.1234	37527.2182	37127.9916	36167.9923	35537.0260	34573.6590	
Period 1	40746.6107	38876.2063	40044.3411	37809.2869	37575.1783	36423.2186	34404.0585	
Period 2	40746.6107	38876.2063	39395.7631	39846.6540	37903.3098	39095.6129	35317.2381	
Period 3	40746.6107	38876.2063	39395.7631	40330.9653	39846.6540	38279.4013	37664.6156	
Period 4	40746.6107	38876.2063	39395.7631	40330.9653	40227.0539	38759.3751	36681.0123	
Period 5	40746.6107	38876.2063	39395.7631	40330.9653	40227.0539	40123.1426	39154.7492	
Period 6	40746.6107	38876.2063	39395.7631	40330.9653	40227.0539	40123.1426	40123.1426	
