Period 0	-12456.0047	-15210.9171	-13600.4409	-7417.7672	3908.2011	19942.0015	39196.7544	
Period 1	-12456.0047	-25327.6548	-32629.3701	-32993.3745	-26900.1382	-14127.8876	2877.0277	
Period 2	-12456.0047	-25327.6548	-38095.3936	-44705.2041	-46479.5518	-39402.5048	-29948.1958	
Period 3	-12456.0047	-25327.6548	-38095.3936	-50135.7529	-56547.8763	-54467.2857	-48821.2360	
Period 4	-12456.0047	-25327.6548	-38095.3936	-50135.7529	-63319.1371	-69039.3557	-68463.1313	
Period 5	-12456.0047	-25327.6548	-38095.3936	-50135.7529	-63319.1371	-75463.4077	-77921.7894	
Period 6	-12456.0047	-25327.6548	-38095.3936	-50135.7529	-63319.1371	-75463.4077	-86464.6534	
