Period 0	-30224.8470	-54231.1207	-66912.1232	-72356.3030	-68942.3492	-61567.6572	-47855.4230	
Period 1	-30224.8470	-61073.1621	-82410.6602	-96219.9373	-102647.9278	-102381.7647	-96463.7452	
Period 2	-30224.8470	-61073.1621	-91713.6545	-114632.6493	-129288.1323	-135537.2481	-132208.3697	
Period 3	-30224.8470	-61073.1621	-91713.6545	-125783.2217	-150184.8696	-166062.6501	-171775.1420	
Period 4	-30224.8470	-61073.1621	-91713.6545	-125783.2217	-156423.7141	-180034.6137	-194031.9365	
Period 5	-30224.8470	-61073.1621	-91713.6545	-125783.2217	-156423.7141	-187895.4973	-209727.2132	
Period 6	-30224.8470	-61073.1621	-91713.6545	-125783.2217	-156423.7141	-187895.4973	-219159.4579	
