Period 0	-42382.4759	-31221.8523	-20390.8790	-14745.6627	-4498.0607	3975.7896	9555.3451	
Period 1	-42382.4759	-44564.6144	-32704.5054	-22083.2909	-11168.1693	-5433.8903	2033.5596	
Period 2	-42382.4759	-44564.6144	-42590.2986	-30431.1040	-21613.1765	-12330.8546	-4498.0607	
Period 3	-42382.4759	-44564.6144	-42590.2986	-42278.5645	-31716.0700	-23305.5884	-11525.9186	
Period 4	-42382.4759	-44564.6144	-42590.2986	-42278.5645	-41862.9191	-33001.0361	-21519.1536	
Period 5	-42382.4759	-44564.6144	-42590.2986	-42278.5645	-41862.9191	-43317.6781	-33989.4715	
Period 6	-42382.4759	-44564.6144	-42590.2986	-42278.5645	-41862.9191	-43317.6781	-42798.1213	
