Period 0	39811.4085	39451.2799	38091.3556	37217.4289	36082.9169	34808.6897	34342.7208	
Period 1	39811.4085	40434.8767	37770.9397	37433.1954	36770.2422	36253.0677	35698.8785	
Period 2	39811.4085	40434.8767	39499.6744	38858.2186	38937.5615	38022.3649	35402.3135	
Period 3	39811.4085	40434.8767	39499.6744	38980.1176	39055.9057	38655.4929	37396.3036	
Period 4	39811.4085	40434.8767	39499.6744	38980.1176	42201.3698	39055.9057	35928.8292	
Period 5	39811.4085	40434.8767	39499.6744	38980.1176	42201.3698	41681.8130	39747.8105	
Period 6	39811.4085	40434.8767	39499.6744	38980.1176	42201.3698	41681.8130	40434.8767	
