Period 0	-42382.4759	-73604.3282	-93995.2072	-108740.8698	-113238.9305	-109263.1409	-99707.7959	
Period 1	-42382.4759	-86947.0903	-119651.5957	-141734.8866	-152903.0559	-158336.9462	-156303.3866	
Period 2	-42382.4759	-86947.0903	-129537.3889	-159968.4929	-181581.6693	-193912.5240	-198410.5846	
Period 3	-42382.4759	-86947.0903	-129537.3889	-171815.9534	-203532.0234	-226837.6118	-238363.5304	
Period 4	-42382.4759	-86947.0903	-129537.3889	-171815.9534	-213678.8725	-246679.9085	-268199.0621	
Period 5	-42382.4759	-86947.0903	-129537.3889	-171815.9534	-213678.8725	-256996.5506	-290986.0221	
Period 6	-42382.4759	-86947.0903	-129537.3889	-171815.9534	-213678.8725	-256996.5506	-299794.6719	
