Period 0	-22119.7610	-11650.8311	-6757.5606	0995.3083	6646.8200	11259.1518	14559.0079	
Period 1	-22119.7610	-22743.2292	-14714.9809	-6663.5378	0011.4976	3243.8030	11582.8568	
Period 2	-22119.7610	-22743.2292	-22223.6724	-15308.0421	-5723.3089	-0256.8144	6561.7445	
Period 3	-22119.7610	-22743.2292	-22223.6724	-20145.4452	-12243.8923	-7039.6293	1174.1829	
Period 4	-22119.7610	-22743.2292	-22223.6724	-20145.4452	-18378.9521	-13034.6407	-5441.2403	
Period 5	-22119.7610	-22743.2292	-22223.6724	-20145.4452	-18378.9521	-22119.7610	-13528.8584	
Period 6	-22119.7610	-22743.2292	-22223.6724	-20145.4452	-18378.9521	-22119.7610	-22119.7610	
