Period 0	0221.1810	4286.4730	7401.3153	18950.2291	33253.8373	51958.2038	73984.2162	
Period 1	0221.1810	-0804.5743	2568.8129	11607.0970	21903.8881	37738.8539	56928.7780	
Period 2	0221.1810	-0804.5743	-0895.1273	2379.4163	11417.7004	23771.5502	38075.1584	
Period 3	0221.1810	-0804.5743	-0895.1273	0365.1673	7198.0784	16612.4540	28161.3678	
Period 4	0221.1810	-0804.5743	-0895.1273	0365.1673	1729.3732	3224.7331	10758.6510	
Period 5	0221.1810	-0804.5743	-0895.1273	0365.1673	1729.3732	1015.3520	6563.2971	
Period 6	0221.1810	-0804.5743	-0895.1273	0365.1673	1729.3732	1015.3520	-5102.0598	
