Period 0	-23366.6973	-34325.6236	-38168.4748	-37262.6039	-34188.9517	-24952.9561	-7930.6066	
Period 1	-23366.6973	-49019.4445	-64624.0173	-72885.9441	-74573.7558	-69713.5198	-59182.7042	
Period 2	-23366.6973	-49019.4445	-71554.8510	-86764.0495	-93427.5873	-95115.3991	-89319.3334	
Period 3	-23366.6973	-49019.4445	-71554.8510	-96895.8641	-110622.4095	-115593.5354	-116744.7231	
Period 4	-23366.6973	-49019.4445	-71554.8510	-96895.8641	-118807.8024	-132830.8785	-138554.1874	
Period 5	-23366.6973	-49019.4445	-71554.8510	-96895.8641	-118807.8024	-139680.6271	-154296.7644	
Period 6	-23366.6973	-49019.4445	-71554.8510	-96895.8641	-118807.8024	-139680.6271	-162216.0335	
