Period 0	30875.0317	30654.2047	30945.6163	30509.6288	30978.3914	33109.2386	31494.4819	
Period 1	30875.0317	30563.2976	30654.2047	28030.9069	30777.9408	30978.3914	29791.2624	
Period 2	30875.0317	30563.2976	29420.2727	30753.0482	30287.4561	31046.2528	29532.1092	
Period 3	30875.0317	30563.2976	29420.2727	30147.6522	30950.7353	29911.3646	30241.3168	
Period 4	30875.0317	30563.2976	29420.2727	30147.6522	31290.6771	31444.9530	32732.0511	
Period 5	30875.0317	30563.2976	29420.2727	30147.6522	31290.6771	32018.0566	28776.1774	
Period 6	30875.0317	30563.2976	29420.2727	30147.6522	31290.6771	32018.0566	29524.1840	
