Period 0	39603.5858	79351.3963	117724.8205	155478.8734	192072.2429	225909.8176	260868.3738	
Period 1	39603.5858	79622.8170	118876.4098	156685.6967	194439.7496	230437.5911	266055.5433	
Period 2	39603.5858	79622.8170	118395.1120	155869.5210	195559.2656	232508.3825	269442.0536	
Period 3	39603.5858	79622.8170	118395.1120	157686.9637	198027.8354	237529.5343	274836.4005	
Period 4	39603.5858	79622.8170	118395.1120	157686.9637	197602.2835	237350.0940	273372.9461	
Period 5	39603.5858	79622.8170	118395.1120	157686.9637	197602.2835	238037.1602	277290.7530	
Period 6	39603.5858	79622.8170	118395.1120	157686.9637	197602.2835	238037.1602	277640.7460	
