Period 0	-42382.4759	-75284.6684	-97650.0280	-110696.3813	-115704.8945	-112862.0724	-104230.4804	
Period 1	-42382.4759	-85388.4199	-117499.8641	-138078.7888	-151840.6408	-156934.2295	-153363.0711	
Period 2	-42382.4759	-85388.4199	-128186.5412	-158815.3323	-179300.2341	-192346.5875	-197440.1761	
Period 3	-42382.4759	-85388.4199	-128186.5412	-172751.1556	-207630.2190	-229807.5328	-242406.6994	
Period 4	-42382.4759	-85388.4199	-128186.5412	-172751.1556	-215133.6315	-245762.4226	-268409.8508	
Period 5	-42382.4759	-85388.4199	-128186.5412	-172751.1556	-215133.6315	-256373.0824	-288286.8395	
Period 6	-42382.4759	-85388.4199	-128186.5412	-172751.1556	-215133.6315	-256373.0824	-298028.1788	
