Period 0	-44564.6144	-32012.6006	-19356.6272	-10720.9826	-4072.6835	3733.0108	9555.3451	
Period 1	-44564.6144	-43733.3235	-32309.1313	-22647.4282	-13940.7267	-4923.4378	2842.8221	
Period 2	-44564.6144	-43733.3235	-44045.0576	-31518.3829	-20955.0163	-12241.4173	-4157.7590	
Period 3	-44564.6144	-43733.3235	-44045.0576	-43525.5008	-32506.8184	-21895.2451	-15550.5987	
Period 4	-44564.6144	-43733.3235	-44045.0576	-43525.5008	-43837.2349	-32309.1313	-24809.9546	
Period 5	-44564.6144	-43733.3235	-44045.0576	-43525.5008	-43837.2349	-42590.2986	-30233.4169	
Period 6	-44564.6144	-43733.3235	-44045.0576	-43525.5008	-43837.2349	-42590.2986	-43525.5008	
