Period 0	-32926.5423	-54758.2581	-70071.9013	-78199.2012	-78528.5661	-70911.0954	-57352.8201	
Period 1	-32926.5423	-64917.8823	-88528.7819	-106004.9515	-113059.0034	-112962.9911	-106964.0453	
Period 2	-32926.5423	-64917.8823	-97532.6905	-120847.0595	-135690.5883	-140687.5814	-141187.0971	
Period 3	-32926.5423	-64917.8823	-97532.6905	-128484.9170	-150020.1022	-163641.3335	-170337.6360	
Period 4	-32926.5423	-64917.8823	-97532.6905	-128484.9170	-162034.9274	-184953.9222	-198481.1306	
Period 5	-32926.5423	-64917.8823	-97532.6905	-128484.9170	-162034.9274	-193402.7993	-216321.7941	
Period 6	-32926.5423	-64917.8823	-97532.6905	-128484.9170	-162034.9274	-193402.7993	-226017.6075	
