Period 0	-11728.6252	-14878.9117	-14866.8246	-6984.8416	3660.5234	20179.8812	39819.5313	
Period 1	-11728.6252	-24184.6299	-30399.0662	-28318.4756	-23566.7993	-13772.1886	3232.7267	
Period 2	-11728.6252	-24184.6299	-36432.8119	-40472.6903	-39144.2828	-34660.9184	-24440.9306	
Period 3	-11728.6252	-24184.6299	-36432.8119	-50551.3983	-55975.0863	-53894.4957	-47085.7607	
Period 4	-11728.6252	-24184.6299	-36432.8119	-50551.3983	-60097.8850	-65422.7294	-65222.5965	
Period 5	-11728.6252	-24184.6299	-36432.8119	-50551.3983	-60097.8850	-71722.5988	-75169.4159	
Period 6	-11728.6252	-24184.6299	-36432.8119	-50551.3983	-60097.8850	-71722.5988	-81165.1741	
