Period 0	-41239.4509	-74240.4870	-95947.6864	-108994.0397	-113321.9495	-108941.5287	-100694.8339	
Period 1	-41239.4509	-85076.6858	-118473.0961	-140462.3641	-154760.8401	-159514.1270	-158289.8299	
Period 2	-41239.4509	-85076.6858	-128082.6299	-159798.6999	-182164.0595	-197178.0341	-202696.9999	
Period 3	-41239.4509	-85076.6858	-128082.6299	-170880.7512	-203684.1001	-224827.1622	-239393.9502	
Period 4	-41239.4509	-85076.6858	-128082.6299	-170880.7512	-211081.0885	-244082.1246	-265601.2782	
Period 5	-41239.4509	-85076.6858	-128082.6299	-170880.7512	-211081.0885	-255022.2348	-287331.3660	
Period 6	-41239.4509	-85076.6858	-128082.6299	-170880.7512	-211081.0885	-255022.2348	-299275.1151	
