Period 0	-70981.2125	-60385.4928	-50654.4580	-45150.9187	-36586.7202	-28680.1183	-23198.1158	
Period 1	-70981.2125	-69896.9201	-61245.0018	-52371.3976	-44450.9743	-37622.4210	-28961.6009	
Period 2	-70981.2125	-69896.9201	-70981.2125	-59783.8364	-54088.3373	-44450.9743	-38436.1860	
Period 3	-70981.2125	-69896.9201	-70981.2125	-68993.3431	-59783.8364	-51226.7712	-43206.6288	
Period 4	-70981.2125	-69896.9201	-70981.2125	-68993.3431	-70077.6355	-58322.6710	-52453.1567	
Period 5	-70981.2125	-69896.9201	-70981.2125	-68993.3431	-70077.6355	-70167.9932	-62706.1672	
Period 6	-70981.2125	-69896.9201	-70981.2125	-68993.3431	-70077.6355	-70167.9932	-69535.4893	
