Period 0	-52728.9565	-43625.0662	-40679.8563	-32163.0622	-26229.7120	-23191.2076	-19248.7365	
Period 1	-52728.9565	-51825.3795	-47235.0042	-37981.8083	-32629.6918	-27339.3915	-22698.6131	
Period 2	-52728.9565	-51825.3795	-54716.8260	-45773.8388	-39616.9889	-32474.1486	-26451.6479	
Period 3	-52728.9565	-51825.3795	-54716.8260	-50018.2255	-43882.9189	-37981.8083	-30763.1735	
Period 4	-52728.9565	-51825.3795	-54716.8260	-50018.2255	-55439.6876	-46891.2006	-39289.9528	
Period 5	-52728.9565	-51825.3795	-54716.8260	-50018.2255	-55439.6876	-51283.2333	-43195.3116	
Period 6	-52728.9565	-51825.3795	-54716.8260	-50018.2255	-55439.6876	-51283.2333	-51644.6641	
