Period 0	-42789.6092	-35631.6319	-32340.4352	-28274.4825	-22086.9087	-19109.7099	-16972.8230	
Period 1	-42789.6092	-42157.1053	-38382.0609	-30378.2184	-26563.5074	-22678.7378	-17983.7795	
Period 2	-42789.6092	-42157.1053	-43422.1132	-37780.4046	-30787.0136	-27963.3961	-24010.3531	
Period 3	-42789.6092	-42157.1053	-43422.1132	-43512.4709	-37264.6991	-32749.2303	-27652.3097	
Period 4	-42789.6092	-42157.1053	-43422.1132	-43512.4709	-43873.9017	-38210.1591	-32422.1942	
Period 5	-42789.6092	-42157.1053	-43422.1132	-43512.4709	-43873.9017	-38271.7241	-39671.3245	
Period 6	-42789.6092	-42157.1053	-43422.1132	-43512.4709	-43873.9017	-38271.7241	-44416.0479	
