Period 0	-50560.3717	-46805.2497	-39044.6757	-32318.6054	-27709.2846	-23683.8022	-20118.9387	
Period 1	-50560.3717	-52367.5257	-46633.3479	-38717.6395	-33718.4942	-28227.1350	-23120.8370	
Period 2	-50560.3717	-52367.5257	-51373.5910	-45945.7406	-35856.0735	-33096.3214	-26895.5197	
Period 3	-50560.3717	-52367.5257	-51373.5910	-54445.7529	-45172.1825	-38799.3986	-32474.1486	
Period 4	-50560.3717	-52367.5257	-51373.5910	-54445.7529	-51192.8756	-43109.3607	-39044.6757	
Period 5	-50560.3717	-52367.5257	-51373.5910	-54445.7529	-51192.8756	-50289.2986	-45430.0352	
Period 6	-50560.3717	-52367.5257	-51373.5910	-54445.7529	-51192.8756	-50289.2986	-49656.7946	
