Period 0	-15863.0138	-15347.2182	-13208.8220	-10542.5587	-9954.4134	-8765.2244	-8270.8008	
Period 1	-15863.0138	-15411.2253	-13886.0528	-12963.5449	-10698.1019	-10324.3065	-9961.5255	
Period 2	-15863.0138	-15411.2253	-16043.7292	-13112.4946	-11982.4366	-10698.1019	-10398.2852	
Period 3	-15863.0138	-15411.2253	-16043.7292	-15140.1522	-14057.9546	-12800.0269	-11942.4474	
Period 4	-15863.0138	-15411.2253	-16043.7292	-15140.1522	-15230.5099	-13542.2492	-13290.5810	
Period 5	-15863.0138	-15411.2253	-16043.7292	-15140.1522	-15230.5099	-15049.7945	-14745.5619	
Period 6	-15863.0138	-15411.2253	-16043.7292	-15140.1522	-15230.5099	-15049.7945	-15411.2253	
