Period 0	-15140.1522	-13714.1510	-13127.0630	-11242.5030	-9954.4134	-8483.7418	-7400.5985	
Period 1	-15140.1522	-16766.5908	-13284.3965	-12881.7859	-10853.6451	-9732.4775	-9468.9309	
Period 2	-15140.1522	-16766.5908	-16314.8023	-13456.2983	-12800.0269	-9531.5279	-10694.1997	
Period 3	-15140.1522	-16766.5908	-16314.8023	-15501.5830	-13456.2983	-12472.9907	-10775.8735	
Period 4	-15140.1522	-16766.5908	-16314.8023	-15501.5830	-15591.9407	-14401.7582	-13862.8943	
Period 5	-15140.1522	-16766.5908	-16314.8023	-15501.5830	-15591.9407	-15682.2984	-14057.9546	
Period 6	-15140.1522	-16766.5908	-16314.8023	-15501.5830	-15591.9407	-15682.2984	-15682.2984	
