Period 0	-49837.5101	-45344.0843	-37164.2180	-33718.4942	-28744.9854	-23613.4315	-19047.9206	
Period 1	-49837.5101	-51915.7372	-41734.1462	-39616.9889	-34262.8953	-27783.2632	-23050.4663	
Period 2	-49837.5101	-51915.7372	-51102.5179	-46117.6424	-38554.1215	-34729.5249	-28227.1350	
Period 3	-49837.5101	-51915.7372	-51102.5179	-50831.4448	-44742.4279	-36837.1818	-31540.8895	
Period 4	-49837.5101	-51915.7372	-51102.5179	-50831.4448	-53361.4605	-46203.5933	-39289.9528	
Period 5	-49837.5101	-51915.7372	-51102.5179	-50831.4448	-53361.4605	-55439.6876	-44828.3788	
Period 6	-49837.5101	-51915.7372	-51102.5179	-50831.4448	-53361.4605	-55439.6876	-51554.3064	
