Period 0	-26705.9381	-22309.2416	-19013.7132	-17153.1443	-14837.0030	-12494.8689	-10546.7143	
Period 1	-26705.9381	-22639.8415	-22824.9470	-18604.9180	-18164.1750	-14837.0030	-12002.2743	
Period 2	-26705.9381	-22639.8415	-23091.6300	-21105.9289	-17215.0145	-16453.1999	-15428.8320	
Period 3	-26705.9381	-22639.8415	-23091.6300	-26525.2227	-23340.6524	-18931.9541	-16064.3420	
Period 4	-26705.9381	-22639.8415	-23091.6300	-26525.2227	-23453.0608	-21793.5361	-19504.2674	
Period 5	-26705.9381	-22639.8415	-23091.6300	-26525.2227	-23453.0608	-25892.7188	-21191.8798	
Period 6	-26705.9381	-22639.8415	-23091.6300	-26525.2227	-23453.0608	-25892.7188	-23181.9877	
