Period 0	-88781.6800	-74653.3431	-66515.7099	-55027.9113	-46129.9635	-36772.7430	-29088.7155	
Period 1	-88781.6800	-87697.3875	-77145.9194	-64308.2161	-54872.3681	-47313.6216	-37898.6734	
Period 2	-88781.6800	-87697.3875	-87697.3875	-75856.6558	-65698.1196	-55105.6829	-46055.9849	
Period 3	-88781.6800	-87697.3875	-87697.3875	-88691.3223	-75942.6067	-67333.3002	-55572.3125	
Period 4	-88781.6800	-87697.3875	-87697.3875	-88691.3223	-88058.8184	-76544.2630	-65289.3245	
Period 5	-88781.6800	-87697.3875	-87697.3875	-88691.3223	-88058.8184	-87426.3144	-75942.6067	
Period 6	-88781.6800	-87697.3875	-87697.3875	-88691.3223	-88058.8184	-87426.3144	-88510.6069	
