Period 0	-70981.2125	-131366.7053	-182021.1633	-227172.0820	-263758.8022	-292438.9205	-315637.0363	
Period 1	-70981.2125	-140878.1326	-202123.1344	-254494.5321	-298945.5064	-336567.9274	-365529.5283	
Period 2	-70981.2125	-140878.1326	-211859.3451	-271643.1815	-325731.5188	-370182.4932	-408618.6791	
Period 3	-70981.2125	-140878.1326	-211859.3451	-280852.6882	-340636.5246	-391863.2958	-435069.9246	
Period 4	-70981.2125	-140878.1326	-211859.3451	-280852.6882	-350930.3237	-409252.9947	-461706.1514	
Period 5	-70981.2125	-140878.1326	-211859.3451	-280852.6882	-350930.3237	-421098.3169	-483804.4841	
Period 6	-70981.2125	-140878.1326	-211859.3451	-280852.6882	-350930.3237	-421098.3169	-490633.8061	
