Period 0	-77938.7556	-68894.6324	-59239.1562	-49739.4428	-40063.7158	-32620.8747	-26210.3543	
Period 1	-77938.7556	-77848.3979	-68121.0743	-60220.2646	-48417.3257	-40803.5021	-33887.5464	
Period 2	-77938.7556	-77848.3979	-78751.9750	-68035.1234	-60383.7826	-48339.5541	-40655.5449	
Period 3	-77938.7556	-77848.3979	-78751.9750	-81101.2752	-68292.9761	-56868.1443	-50128.3008	
Period 4	-77938.7556	-77848.3979	-78751.9750	-81101.2752	-78390.5442	-68292.9761	-58748.6020	
Period 5	-77938.7556	-77848.3979	-78751.9750	-81101.2752	-78390.5442	-78029.1133	-69066.5342	
Period 6	-77938.7556	-77848.3979	-78751.9750	-81101.2752	-78390.5442	-78029.1133	-79113.4058	
