Period 0	-79294.1212	-146641.6373	-205390.2393	-255985.1697	-297676.4154	-331282.4792	-357492.8335	
Period 1	-79294.1212	-157775.0230	-228044.8700	-285730.6046	-335081.1894	-376032.6488	-409638.7126	
Period 2	-79294.1212	-157775.0230	-236526.9980	-306109.2377	-363549.6952	-414533.4836	-455263.0071	
Period 3	-79294.1212	-157775.0230	-236526.9980	-314013.9651	-381275.5303	-437816.6385	-488333.7973	
Period 4	-79294.1212	-157775.0230	-236526.9980	-314013.9651	-392223.7939	-461290.3281	-520284.2072	
Period 5	-79294.1212	-157775.0230	-236526.9980	-314013.9651	-392223.7939	-470523.9803	-539418.6127	
Period 6	-79294.1212	-157775.0230	-236526.9980	-314013.9651	-392223.7939	-470523.9803	-550360.2477	
