Period 0	-24627.7110	-47452.6579	-66629.8892	-83471.9471	-97051.3134	-109827.6648	-120307.4405	
Period 1	-24627.7110	-50249.3567	-72816.4509	-92238.9593	-110092.0479	-125150.9868	-136801.4078	
Period 2	-24627.7110	-50249.3567	-74967.4253	-95127.8942	-113242.2581	-129928.7728	-143212.2245	
Period 3	-24627.7110	-50249.3567	-74967.4253	-100227.6402	-123826.1453	-143575.6898	-161273.2353	
Period 4	-24627.7110	-50249.3567	-74967.4253	-100227.6402	-124674.6358	-146983.8773	-166651.6627	
Period 5	-24627.7110	-50249.3567	-74967.4253	-100227.6402	-124674.6358	-150838.4277	-173147.6692	
Period 6	-24627.7110	-50249.3567	-74967.4253	-100227.6402	-124674.6358	-150838.4277	-176550.4311	
