Period 0	-86793.8105	-163767.8281	-228893.6345	-285088.1197	-330700.2328	-368035.9411	-396589.1475	
Period 1	-86793.8105	-175214.0597	-253821.1445	-318865.1918	-372804.3008	-419600.0720	-457146.8922	
Period 2	-86793.8105	-175214.0597	-262278.9433	-336330.6301	-403009.8581	-456948.9671	-503818.7169	
Period 3	-86793.8105	-175214.0597	-262278.9433	-349163.1115	-424761.9146	-490296.5161	-545402.1991	
Period 4	-86793.8105	-175214.0597	-262278.9433	-349163.1115	-436679.7837	-512020.7340	-577964.1307	
Period 5	-86793.8105	-175214.0597	-262278.9433	-349163.1115	-436679.7837	-525100.0328	-600526.9341	
Period 6	-86793.8105	-175214.0597	-262278.9433	-349163.1115	-436679.7837	-525100.0328	-613339.5666	
