Period 0	-42789.6092	-79108.8484	-113084.4642	-141825.5762	-164652.2712	-183480.4986	-200520.2602	
Period 1	-42789.6092	-85579.2185	-124562.9357	-156821.6118	-185873.8103	-208108.6762	-227148.0155	
Period 2	-42789.6092	-85579.2185	-128730.2585	-166682.5649	-197551.3375	-224814.7892	-249269.0141	
Period 3	-42789.6092	-85579.2185	-128730.2585	-171971.6563	-210009.9135	-242677.3848	-270640.7809	
Period 4	-42789.6092	-85579.2185	-128730.2585	-171971.6563	-215303.4117	-252825.9636	-284675.8445	
Period 5	-42789.6092	-85579.2185	-128730.2585	-171971.6563	-215303.4117	-258364.0941	-296574.2532	
Period 6	-42789.6092	-85579.2185	-128730.2585	-171971.6563	-215303.4117	-258364.0941	-299346.5492	
