Period 0	-16134.0869	-13542.2492	-12391.2317	-10698.1019	-9584.5202	-9961.5255	-7065.9054	
Period 1	-16134.0869	-15772.6561	-13972.0037	-12881.7859	-10698.1019	-10102.3707	-8413.3712	
Period 2	-16134.0869	-15772.6561	-16856.9485	-15519.1200	-11246.6053	-11398.0462	-9288.6057	
Period 3	-16134.0869	-15772.6561	-16856.9485	-16405.1600	-13026.5437	-11410.1233	-11086.9598	
Period 4	-16134.0869	-15772.6561	-16856.9485	-16405.1600	-15863.0138	-13542.2492	-14435.2075	
Period 5	-16134.0869	-15772.6561	-16856.9485	-16405.1600	-15863.0138	-15411.2253	-13972.0037	
Period 6	-16134.0869	-15772.6561	-16856.9485	-16405.1600	-15863.0138	-15411.2253	-16134.0869	
