Period 0	38460.5609	36881.3478	38091.3556	33997.6849	33190.3524	30114.9674	29031.1403	
Period 1	38460.5609	39915.3199	37375.5655	36210.8979	34802.6209	32169.4473	31652.5661	
Period 2	38460.5609	39915.3199	40954.4335	38660.5315	37621.2411	33550.4982	33785.8804	
Period 3	38460.5609	39915.3199	40954.4335	39291.8517	38265.1574	37057.1038	35696.9942	
Period 4	38460.5609	39915.3199	40954.4335	39291.8517	40642.6994	37672.0961	35458.7148	
Period 5	38460.5609	39915.3199	40954.4335	39291.8517	40642.6994	40954.4335	39747.8105	
Period 6	38460.5609	39915.3199	40954.4335	39291.8517	40642.6994	40954.4335	38668.3836	
