Period 0	-93932.0690	-81787.2683	-60056.7465	-39706.9070	-27191.4342	-26850.4814	-32368.7085	
Period 1	-93932.0690	-85167.3719	-64339.2344	-42069.7598	-28741.1120	-28005.1991	-35646.8126	
Period 2	-93932.0690	-85167.3719	-66372.9697	-43023.4098	-30459.9775	-29363.2848	-36660.6989	
Period 3	-93932.0690	-85167.3719	-66372.9697	-47126.7790	-30990.2830	-30051.1823	-37762.6171	
Period 4	-93932.0690	-85167.3719	-66372.9697	-47126.7790	-33573.1235	-33654.7611	-39698.7479	
Period 5	-93932.0690	-85167.3719	-66372.9697	-47126.7790	-33573.1235	-32940.6196	-41648.1953	
Period 6	-93932.0690	-85167.3719	-66372.9697	-47126.7790	-33573.1235	-32940.6196	-43422.1132	
