Period 0	-96462.0847	-89866.6534	-79351.8777	-67782.4530	-52492.1257	-40220.9049	-30695.2427	
Period 1	-96462.0847	-94022.4267	-84537.6973	-70603.6614	-53005.8499	-40729.5235	-32550.5040	
Period 2	-96462.0847	-94022.4267	-87968.4607	-75512.8522	-55314.7227	-44762.0607	-35403.0621	
Period 3	-96462.0847	-94022.4267	-87968.4607	-76583.3901	-59955.7382	-45748.9162	-36362.7284	
Period 4	-96462.0847	-94022.4267	-87968.4607	-76583.3901	-63662.2386	-48008.5623	-38554.1215	
Period 5	-96462.0847	-94022.4267	-87968.4607	-76583.3901	-63662.2386	-50018.2255	-42507.7044	
Period 6	-96462.0847	-94022.4267	-87968.4607	-76583.3901	-63662.2386	-50018.2255	-43512.4709	
