Period 0	-97094.5886	-91327.8188	-84175.6605	-73848.6375	-61813.4331	-49087.6067	-38995.6331	
Period 1	-97094.5886	-96010.2962	-88921.1934	-76653.8297	-67626.9098	-53157.9334	-40220.9049	
Period 2	-97094.5886	-96010.2962	-92305.6304	-80583.9556	-69459.0350	-57049.9728	-45390.1772	
Period 3	-97094.5886	-96010.2962	-92305.6304	-86432.3797	-72934.3250	-56050.5540	-44762.0607	
Period 4	-97094.5886	-96010.2962	-92305.6304	-86432.3797	-75137.6668	-62448.3145	-48774.0003	
Period 5	-97094.5886	-96010.2962	-92305.6304	-86432.3797	-75137.6668	-67186.1890	-48266.4151	
Period 6	-97094.5886	-96010.2962	-92305.6304	-86432.3797	-75137.6668	-67186.1890	-52548.2411	
