Period 0	-68451.1968	-67863.2216	-65452.8425	-57049.9728	-55303.3136	-53802.4402	-54123.7641	
Period 1	-68451.1968	-67276.5467	-66230.1543	-62918.3126	-58916.4911	-58484.3947	-54224.6641	
Period 2	-68451.1968	-67276.5467	-70258.3509	-66745.8598	-63000.0716	-60238.6082	-56412.9931	
Period 3	-68451.1968	-67276.5467	-70258.3509	-68541.5545	-65972.3016	-64062.9390	-60549.6946	
Period 4	-68451.1968	-67276.5467	-70258.3509	-68541.5545	-68270.4814	-64854.9399	-64962.2883	
Period 5	-68451.1968	-67276.5467	-70258.3509	-68541.5545	-68270.4814	-69264.4162	-65026.8417	
Period 6	-68451.1968	-67276.5467	-70258.3509	-68541.5545	-68270.4814	-69264.4162	-70167.9932	
